% Auto generated by java saveARFFDiscreteClass
@relation training_essay_set_1
@attribute Adverb_TTR real
@attribute AverageIDF real
@attribute AverageIDF_MinMaxNorm_Task real
@attribute AverageIDF_abs_zscore_gaussiannorm_task real
@attribute AverageIDF_zscore_gaussiannorm_task real
@attribute AverageSentenceLength real
@attribute AverageWordLength real
@attribute AverageWordLength_MinMaxNorm_Task real
@attribute FourLengthWordCount real
@attribute FourLengthWordRatio real
@attribute MoreThanEightWordSentenceCount real
@attribute MoreThanEightWordSentenceRatio real
@attribute MoreThanNineWordSentenceCount real
@attribute MoreThanNineWordSentenceRatio real
@attribute MoreThanSevenWordSentenceCount real
@attribute MoreThanSevenWordSentenceRatio real
@attribute Num_Chars real
@attribute Num_PrePosition real
@attribute Num_Pronoun real
@attribute Num_Sentences real
@attribute Num_Words real
@attribute OOVs real
@attribute OOVs_MinMaxNorm_Task real
@attribute OneLengthWordCount real
@attribute OneLengthWordRatio real
@attribute PercentMatches_是 real
@attribute PercentMatches_这 real
@attribute PercentMatches_这_abs_zscore_gaussiannorm_task real
@attribute PercentMatches_这_normal_prob_gaussiannorm_task real
@attribute PercentMatches_这_zscore_gaussiannorm_task real
@attribute PercentMatches_！ real
@attribute PercentMatches_， real
@attribute PercentMatches_？ real
@attribute TTR real
@attribute ThreeLengthWordCount real
@attribute ThreeLengthWordRatio real
@attribute TwoLengthWordCount real
@attribute TwoLengthWordRatio real
@attribute Verb_TTR real
@attribute obvious_typos real
@attribute obvious_typos_MinMaxNorm_Task real
@attribute overlap_coherence real
@attribute overlap_coherence_abs_zscore_gaussiannorm_task real
@attribute overlap_coherence_zscore_gaussiannorm_task real
@attribute stopword_ratio real
@attribute grade {8.0,9.0,10.0}
@data
8.310373263611433E-5,1.769715594422233,0.6828270198350701,0.5420700856685102,0.5420700856685102,6.613636363636363,1.436426116838488,0.293988118101554,2.0,0.006872852233676976,13.0,0.29545454545454547,7.0,0.1590909090909091,18.0,0.4090909090909091,418.0,9.0,0.0,44.0,291.0,0.09621993127147765,1.0,182.0,0.6254295532646048,0.0,0.0,0.9616329285972027,56.285117180250296,-0.9616329285972027,0.003436426116838488,0.058419243986254296,0.003436426116838488,0.0016812524371767744,14.0,0.048109965635738834,93.0,0.31958762886597936,2.8127417199915616E-4,0.09621993127147767,1.0,0.3161512027491409,0.5782949422705491,0.5782949422705491,0.436426116838488,9.0
1.0228151709060225E-4,1.7130615459221445,0.604495279974743,0.28092822524144906,0.28092822524144906,7.029411764705882,1.5857740585774058,0.9445121586235156,6.0,0.02510460251046025,11.0,0.3235294117647059,10.0,0.29411764705882354,12.0,0.35294117647058826,379.0,4.0,1.0,34.0,239.0,0.05439330543933052,0.4626422516042668,120.0,0.502092050209205,0.016736401673640166,0.0041841004184100415,0.024308600755862463,89.34485365558993,-0.024308600755862463,0.0,0.06694560669456066,0.0041841004184100415,0.0014447264289047567,9.0,0.03765690376569038,104.0,0.4351464435146444,2.365260082720177E-4,0.05439330543933055,0.46264225160426736,0.2217573221757322,1.3177289420331153,-1.3177289420331153,0.42677824267782427,8.0
1.9177784454487922E-4,1.4510907316332684,0.2422858665408149,0.9266032333600053,-0.9266032333600053,5.281553398058253,1.3768382352941178,0.03443750751361719,9.0,0.016544117647058824,12.0,0.11650485436893204,5.0,0.04854368932038835,18.0,0.17475728155339806,749.0,8.0,2.0,103.0,544.0,0.018382352941176516,0.0,371.0,0.6819852941176471,0.011029411764705883,0.007352941176470588,0.6855767357710351,70.65376270364709,0.6855767357710351,0.04044117647058824,0.07720588235294118,0.0055147058823529415,0.00341364563289885,14.0,0.025735294117647058,150.0,0.2757352941176471,5.241927750893365E-4,0.01838235294117647,0.0,0.34375,1.132652687156231,1.132652687156231,0.5845588235294118,9.0
2.748815771809935E-4,1.6497231156781418,0.5169214953576213,0.011024705720275887,-0.011024705720275887,5.963414634146342,1.4580777096114519,0.38829729605478636,11.0,0.022494887525562373,16.0,0.1951219512195122,10.0,0.12195121951219512,23.0,0.2804878048780488,713.0,9.0,1.0,82.0,489.0,0.024539877300613466,0.07910734752445282,295.0,0.6032719836400818,0.014314928425357873,0.002044989775051125,0.5035132673414147,78.73094586822201,-0.5035132673414147,0.00408997955010225,0.07770961145194274,0.002044989775051125,0.0030492677282635797,8.0,0.016359918200409,175.0,0.35787321063394684,3.452001201807826E-4,0.024539877300613498,0.07910734752445374,0.3128834355828221,0.512657587835636,0.512657587835636,0.5337423312883436,8.0
3.19629740908132E-5,1.6638638366499416,0.5364729185290611,0.05415570556754258,0.05415570556754258,5.516129032258065,1.543859649122807,0.7619429803876137,3.0,0.017543859649122806,5.0,0.16129032258064516,2.0,0.06451612903225806,7.0,0.22580645161290322,264.0,6.0,0.0,31.0,171.0,0.0292397660818714,0.13948806442335368,91.0,0.5321637426900585,0.005847953216374269,0.0,0.9616329285972027,56.285117180250296,-0.9616329285972027,0.0,0.09941520467836257,0.0,0.0010611707398149983,7.0,0.04093567251461988,70.0,0.4093567251461988,1.1506670672692752E-4,0.029239766081871343,0.13948806442335343,0.21052631578947367,1.5433183152399195,-1.5433183152399195,0.49122807017543857,8.0
8.310373263611433E-5,1.4761684055270519,0.2769590784251677,0.8110098982112287,-0.8110098982112287,6.769230769230769,1.5340909090909092,0.7193926769661718,3.0,0.011363636363636364,9.0,0.23076923076923078,7.0,0.1794871794871795,11.0,0.28205128205128205,405.0,9.0,1.0,39.0,264.0,0.06439393939393945,0.5911230467309031,135.0,0.5113636363636364,0.011363636363636364,0.0,0.9616329285972027,56.285117180250296,-0.9616329285972027,0.007575757575757576,0.07196969696969698,0.0,0.0015789709200861723,6.0,0.022727272727272728,120.0,0.45454545454545453,2.4291860309018034E-4,0.06439393939393939,0.5911230467309025,0.2878787878787879,0.010406711216805937,0.010406711216805937,0.44696969696969696,9.0
1.0228151709060225E-4,1.275855568232521,0.0,1.7343343275048455,-1.7343343275048455,4.681818181818182,1.3689320388349515,0.0,1.0,0.0048543689320388345,1.0,0.022727272727272728,0.0,0.0,4.0,0.09090909090909091,282.0,4.0,0.0,44.0,206.0,0.029126213592232997,0.13802922549138502,139.0,0.6747572815533981,0.009708737864077669,0.0048543689320388345,0.12584529642260467,88.66636138479281,0.12584529642260467,0.0048543689320388345,0.0970873786407767,0.019417475728155338,0.0012785189636325281,7.0,0.03398058252427184,59.0,0.28640776699029125,2.365260082720177E-4,0.02912621359223301,0.1380292254913857,0.36893203883495146,1.6384666954001157,1.6384666954001157,0.5825242718446602,8.0
1.0228151709060225E-4,1.9232235152925181,0.8950720904427268,1.2496513637530557,1.2496513637530557,8.67741935483871,1.5985130111524164,1.0,5.0,0.01858736059479554,12.0,0.3870967741935484,11.0,0.3548387096774194,13.0,0.41935483870967744,430.0,10.0,0.0,31.0,269.0,0.06319702602230481,0.5757459833983881,130.0,0.483271375464684,0.007434944237918215,0.011152416356877323,1.536737119961314,27.44046114963977,1.536737119961314,0.0,0.07063197026022305,0.007434944237918215,0.0016109338941769854,12.0,0.04460966542750929,122.0,0.45353159851301117,2.045630341812045E-4,0.06319702602230483,0.5757459833983885,0.23048327137546468,1.1424569011400967,-1.1424569011400967,0.42379182156133827,9.0
8.310373263611433E-5,1.4761684055270519,0.2769590784251677,0.8110098982112287,-0.8110098982112287,6.769230769230769,1.5340909090909092,0.7193926769661718,3.0,0.011363636363636364,9.0,0.23076923076923078,7.0,0.1794871794871795,11.0,0.28205128205128205,405.0,9.0,1.0,39.0,264.0,0.06439393939393945,0.5911230467309031,135.0,0.5113636363636364,0.011363636363636364,0.0,0.9616329285972027,56.285117180250296,-0.9616329285972027,0.007575757575757576,0.07196969696969698,0.0,0.0015789709200861723,6.0,0.022727272727272728,120.0,0.45454545454545453,2.4291860309018034E-4,0.06439393939393939,0.5911230467309025,0.2878787878787879,0.010406711216805937,0.010406711216805937,0.44696969696969696,8.0
7.031854299978904E-5,1.7752796943918194,0.6905201263810891,0.567717315762891,0.567717315762891,6.6938775510204085,1.4908536585365855,0.5310615181690257,6.0,0.018292682926829267,11.0,0.22448979591836735,8.0,0.16326530612244897,14.0,0.2857142857142857,489.0,10.0,0.0,49.0,328.0,0.030487804878048808,0.15552194963598706,182.0,0.5548780487804879,0.012195121951219513,0.012195121951219513,1.7703245635257283,18.648665084390537,1.7703245635257283,0.0,0.09451219512195122,0.0,0.0020328451521757196,0.0,0.0,139.0,0.42378048780487804,2.557037927265056E-4,0.03048780487804878,0.15552194963598717,0.2926829268292683,0.10690409153735103,0.10690409153735103,0.4603658536585366,9.0
